행정구역 대분류 코드 ,행정구역 대분류 명칭,행정구역 특별광역시/도 코드,행정구역 소분류 코드 ,행정구역 소분류 명칭,행정구역 시/군/구코드
4,서울특별시,11,1,강남구,11680
4,서울특별시,11,8,강동구,11740
4,서울특별시,11,9,강북구,11305
4,서울특별시,11,10,강서구,11500
4,서울특별시,11,11,관악구,11620
4,서울특별시,11,12,광진구,11215
4,서울특별시,11,13,구로구,11530
4,서울특별시,11,14,금천구,11545
4,서울특별시,11,15,노원구,11350
4,서울특별시,11,16,도봉구,11320
4,서울특별시,11,17,동대문구,11230
4,서울특별시,11,18,동작구,11590
4,서울특별시,11,19,마포구,11440
4,서울특별시,11,20,서대문구,11410
4,서울특별시,11,21,서초구,11650
4,서울특별시,11,22,성동구,11200
4,서울특별시,11,23,성북구,11290
4,서울특별시,11,24,송파구,11710
4,서울특별시,11,25,양천구,11470
4,서울특별시,11,26,영등포구,11560
4,서울특별시,11,27,용산구,11170
4,서울특별시,11,28,은평구,11380
4,서울특별시,11,29,종로구,11110
4,서울특별시,11,30,중구,11140
4,서울특별시,11,31,중랑구,11260
5,부산광역시,26,2,강서구,26440
5,부산광역시,26,32,금정구,26410
5,부산광역시,26,33,기장군,26710
5,부산광역시,26,34,남구,26290
5,부산광역시,26,35,동구,26170
5,부산광역시,26,36,동래구,26260
5,부산광역시,26,37,부산진구,26230
5,부산광역시,26,38,북구,26320
5,부산광역시,26,39,사상구,26530
5,부산광역시,26,40,사하구,26380
5,부산광역시,26,41,서구,26140
5,부산광역시,26,42,수영구,26500
5,부산광역시,26,43,연제구,26470
5,부산광역시,26,44,영도구,26200
5,부산광역시,26,45,중구,26110
5,부산광역시,26,46,해운대구,26350
6,광주광역시,29,3,광산구,29200
6,광주광역시,29,47,남구,29155
6,광주광역시,29,48,동구,29110
6,광주광역시,29,49,북구,29170
6,광주광역시,29,50,서구,29140
7,대전광역시,30,4,대덕구,30230
7,대전광역시,30,51,동구,30110
7,대전광역시,30,52,서구,30170
7,대전광역시,30,53,유성구,30200
7,대전광역시,30,54,중구,30140
8,대구광역시,27,5,남구,27200
8,대구광역시,27,55,달서구,27290
8,대구광역시,27,56,동구,27140
8,대구광역시,27,57,북구,27230
8,대구광역시,27,58,서구,27170
8,대구광역시,27,59,수성구,27260
8,대구광역시,27,60,중구,27110
8,대구광역시,27,61,달성군,27710
9,인천광역시,28,6,강화군,28710
9,인천광역시,28,62,계양구,28245
9,인천광역시,28,63,미추홀구,28177
9,인천광역시,28,64,남동구,28200
9,인천광역시,28,65,동구,28140
9,인천광역시,28,66,부평구,28237
9,인천광역시,28,67,서구,28260
9,인천광역시,28,68,연수구,28185
9,인천광역시,28,69,중구,28110
9,인천광역시,28,70,옹진군,28720
10,울산광역시,31,7,남구,31140
10,울산광역시,31,71,동구,31170
10,울산광역시,31,72,북구,31200
10,울산광역시,31,73,중구,31110
10,울산광역시,31,74,울주군,31710
11,경기도,41,75,고양시,41280
11,경기도,41,76,과천시,41290
11,경기도,41,77,광명시,41210
11,경기도,41,78,구리시,41310
11,경기도,41,79,군포시,41410
11,경기도,41,80,김포시,41570
11,경기도,41,81,남양주시,41360
11,경기도,41,82,동두천시,41250
11,경기도,41,83,부천시,41190
11,경기도,41,84,성남시,41130
11,경기도,41,85,수원시,41110
11,경기도,41,86,시흥시,41390
11,경기도,41,87,안산시,41270
11,경기도,41,88,안성시,41550
11,경기도,41,89,안양시,41170
11,경기도,41,90,오산시,41370
11,경기도,41,91,용인시,41460
11,경기도,41,92,의왕시,41430
11,경기도,41,93,의정부시,41150
11,경기도,41,94,이천시,41500
11,경기도,41,95,파주시,41480
11,경기도,41,96,평택시,41220
11,경기도,41,97,하남시,41450
11,경기도,41,98,가평군,41820
11,경기도,41,99,광주시,41610
11,경기도,41,100,양주군,41630
11,경기도,41,101,양평군,41830
11,경기도,41,102,여주군,41670
11,경기도,41,103,연천군,41800
11,경기도,41,104,포천군,41650
11,경기도,41,105,화성시,41590
11,경기도,41,234,수원시 장안구,41111
11,경기도,41,235,수원시 권선구,41113
11,경기도,41,236,수원시 팔달구,41115
11,경기도,41,237,수원시 영통구,41117
11,경기도,41,238,성남시 수정구,41131
11,경기도,41,239,성남시 중원구,41133
11,경기도,41,240,성남시 분당구,41135
11,경기도,41,241,안양시만안구,41171
11,경기도,41,242,안양시동안구,41173
11,경기도,41,246,안산시상록구,41271
11,경기도,41,247,안산시단원구,41273
11,경기도,41,248,고양시덕양구,41281
11,경기도,41,249,고양시일산동구,41285
11,경기도,41,250,고양시일산서구,41287
11,경기도,41,251,용인시처인구,41461
11,경기도,41,252,용인시기흥구,41463
11,경기도,41,253,용인시수지구,41465
12,강원도,42,106,강릉시,42150
12,강원도,42,107,동해시,42170
12,강원도,42,108,삼척시,42230
12,강원도,42,109,속초시,42210
12,강원도,42,110,원주시,42130
12,강원도,42,111,춘천시,42110
12,강원도,42,112,태백시,42190
12,강원도,42,113,고성군,42820
12,강원도,42,114,양구군,42800
12,강원도,42,115,양양군,42830
12,강원도,42,116,영월군,42750
12,강원도,42,117,인제군,42810
12,강원도,42,118,정선군,42770
12,강원도,42,119,철원군,42780
12,강원도,42,120,평창군,42760
12,강원도,42,121,홍천군,42720
12,강원도,42,122,화천군,42790
12,강원도,42,123,횡성군,42730
13,충청북도,43,124,제천시,43150
13,충청북도,43,125,청주시,43110
13,충청북도,43,126,충주시,43130
13,충청북도,43,127,괴산군,43760
13,충청북도,43,128,단양군,43800
13,충청북도,43,129,보은군,43720
13,충청북도,43,130,영동군,43740
13,충청북도,43,131,옥천군,43730
13,충청북도,43,132,음성군,43770
13,충청북도,43,133,진천군,43750
13,충청북도,43,134,청원군,
13,충청북도,43,137,증평군,43745
13,충청북도,43,254,청주시 상당구,43111
13,충청북도,43,255,청주시 서원구,43112
13,충청북도,43,256,청주시 흥덕구,43113
13,충청북도,43,257,청주시 청원구,43114
14,충청남도,44,135,공주시,44150
14,충청남도,44,136,계룡시,44250
14,충청남도,44,137,논산시,44230
14,충청남도,44,138,보령시,44180
14,충청남도,44,139,서산시,44210
14,충청남도,44,140,아산시,44200
14,충청남도,44,141,천안시,44130
14,충청남도,44,142,금산군,44710
14,충청남도,44,143,당진군,44270
14,충청남도,44,144,부여군,44760
14,충청남도,44,145,서천군,44770
14,충청남도,44,147,예산군,44810
14,충청남도,44,148,청양군,44790
14,충청남도,44,149,태안군,44825
14,충청남도,44,150,홍성군,44800
14,충청남도,44,258,천안시동남구,44131
14,충청남도,44,259,천안시서북구,44133
15,경상북도,47,151,경산시,47290
15,경상북도,47,152,경주시,47130
15,경상북도,47,153,구미시,47190
15,경상북도,47,154,김천시,47150
15,경상북도,47,155,문경시,47280
15,경상북도,47,156,상주시,47250
15,경상북도,47,157,안동시,47170
15,경상북도,47,158,영주시,47210
15,경상북도,47,159,영천시,47230
15,경상북도,47,160,포항시,47110
15,경상북도,47,161,고령군,47830
15,경상북도,47,162,군위군,47720
15,경상북도,47,163,봉화군,47920
15,경상북도,47,164,성주군,47840
15,경상북도,47,165,영덕군,47770
15,경상북도,47,166,영양군,47760
15,경상북도,47,167,예천군,47900
15,경상북도,47,168,울릉군,47940
15,경상북도,47,169,울진군,47930
15,경상북도,47,170,의성군,47730
15,경상북도,47,171,청도군,47820
15,경상북도,47,172,청송군,47750
15,경상북도,47,173,칠곡군,47850
15,경상북도,47,262,포항시 남구,47111
15,경상북도,47,263,포항시 북구,47113
16,경상남도,48,174,거제시,48310
16,경상남도,48,175,김해시,48250
16,경상남도,48,176,마산시,
16,경상남도,48,177,밀양시,48270
16,경상남도,48,178,사천시,48240
16,경상남도,48,179,양산시,48330
16,경상남도,48,180,진주시,48170
16,경상남도,48,181,진해시,
16,경상남도,48,182,창원시,48120
16,경상남도,48,183,통영시,48220
16,경상남도,48,184,거창군,48880
16,경상남도,48,185,고성군,48820
16,경상남도,48,186,남해군,48840
16,경상남도,48,187,산청군,48860
16,경상남도,48,188,의령군,48720
16,경상남도,48,189,창녕군,48740
16,경상남도,48,190,하동군,48850
16,경상남도,48,191,함안군,48730
16,경상남도,48,192,함양군,48870
16,경상남도,48,193,합천군,48890
16,경상남도,48,264,창원시 의창구,48121
16,경상남도,48,265,창원시 성산구,48123
16,경상남도,48,266,창원시 마산합포구,48125
16,경상남도,48,267,창원시 마산회원구,48127
16,경상남도,48,268,창원시 진해구,48129
17,전라북도,45,194,군산시,45130
17,전라북도,45,195,김제시,45210
17,전라북도,45,196,남원시,45190
17,전라북도,45,197,익산시,45140
17,전라북도,45,198,전주시,45110
17,전라북도,45,199,정읍시,45180
17,전라북도,45,200,고창군,45790
17,전라북도,45,201,무주군,45730
17,전라북도,45,202,부안군,45800
17,전라북도,45,203,순창군,45770
17,전라북도,45,204,완주군,45710
17,전라북도,45,205,임실군,45750
17,전라북도,45,206,장수군,45740
17,전라북도,45,207,진안군,45720
17,전라북도,45,260,전주시완산구,45111
17,전라북도,45,261,전주시덕진구,45113
18,전라남도,46,208,광양시,46230
18,전라남도,46,209,나주시,46170
18,전라남도,46,210,목포시,46110
18,전라남도,46,211,순천시,46150
18,전라남도,46,212,여수시,46130
18,전라남도,46,213,강진군,46810
18,전라남도,46,214,고흥군,46770
18,전라남도,46,215,곡성군,46720
18,전라남도,46,216,구례군,46730
18,전라남도,46,217,담양군,46710
18,전라남도,46,218,무안군,46840
18,전라남도,46,219,보성군,46780
18,전라남도,46,220,신안군,46910
18,전라남도,46,221,영광군,46870
18,전라남도,46,222,영암군,46830
18,전라남도,46,223,완도군,46890
18,전라남도,46,224,장성군,46880
18,전라남도,46,225,장흥군,46800
18,전라남도,46,226,진도군,46900
18,전라남도,46,227,함평군,46860
18,전라남도,46,228,해남군,46820
18,전라남도,46,229,화순군,46790
19,제주특별자치도,50,230,서귀포시,50130
19,제주특별자치도,50,231,제주시,50110
20,세종특별자치시,36,146,세종시,36110
